country,satisfaction,sex,age,immigrant,children,income_level,education,god_importance,praying_frequency,ethics_score,voter
IND,10,Female,17,Not immigrant,0,5,3,7,1,3.92,1
IND,10,Male,20,Not immigrant,0,9,7,10,3,6.64,3
IND,6,Male,30,Not immigrant,4,5,2,9,3,3.6,3
IND,6,Male,37,Not immigrant,2,6,6,5,1,4.0,2
IND,1,Female,75,Not immigrant,3,8,3,10,1,5.84,3
IND,9,Female,24,Not immigrant,0,5,3,8,2,5.12,1
IND,7,Female,26,Not immigrant,1,4,3,4,1,6.4,2
IND,7,Female,38,Not immigrant,2,8,3,10,1,5.44,1
IND,7,Male,18,Not immigrant,0,5,3,10,3,7.13,0
IND,10,Male,20,Not immigrant,0,1,6,10,1,6.35,3
IND,8,Male,40,Not immigrant,7,10,2,9,3,3.08,1
IND,6,Male,59,Not immigrant,2,1,2,10,1,5.36,3
IND,10,Female,34,Not immigrant,2,6,3,10,1,5.72,3
IND,10,Male,16,Not immigrant,0,5,1,5,1,6.4,3
IND,10,Male,39,Not immigrant,2,8,7,10,1,7.44,3
IND,5,Male,50,Not immigrant,2,5,1,10,3,6.58,3
IND,10,Female,56,Not immigrant,2,6,0,10,3,6.56,3
IND,4,Male,16,Not immigrant,0,4,3,10,1,7.83,0
IND,5,Male,16,Not immigrant,0,4,3,10,3,7.85,0
IND,5,Male,16,Not immigrant,0,3,3,6,3,5.26,3
IND,10,Male,47,Not immigrant,3,5,3,9,2,6.24,1
IND,7,Male,56,Not immigrant,4,4,2,6,1,6.64,3
IND,7,Male,35,Not immigrant,4,3,4,8,1,4.72,3
IND,8,Female,68,Not immigrant,2,6,6,10,1,6.64,2
IND,10,Male,40,Not immigrant,5,1,1,10,2,6.4,3
IND,8,Female,16,Not immigrant,0,7,3,7,1,6.64,0
IND,10,Male,17,Not immigrant,0,1,3,7,1,6.4,3
IND,9,Male,29,Not immigrant,5,8,6,10,2,6.0,3
IND,3,Male,17,Not immigrant,0,1,1,4,1,5.68,2
IND,8,Male,33,Not immigrant,0,4,3,4,2,6.16,1
IND,10,Female,17,Not immigrant,0,8,3,8,1,5.6,3
IND,7,Male,37,Not immigrant,2,1,6,10,2,6.72,3
IND,6,Male,27,Not immigrant,1,5,2,6,3,5.95,1
IND,9,Male,40,Not immigrant,2,5,0,9,4,2.65,3
IND,7,Female,30,Not immigrant,1,8,6,9,1,6.08,3
IND,6,Male,32,Not immigrant,0,5,2,10,1,7.07,2
IND,9,Female,37,Not immigrant,2,9,8,9,1,7.6,3
IND,10,Male,70,Not immigrant,1,4,3,10,1,5.76,3
IND,3,Male,65,Not immigrant,6,4,2,3,2,6.4,3
IND,6,Male,17,Not immigrant,0,5,7,4,1,4.0,2
IND,10,Male,39,Not immigrant,2,5,3,10,4,4.64,3
IND,6,Male,17,Not immigrant,0,4,2,9,1,3.52,3
IND,10,Male,51,Not immigrant,0,7,3,10,1,3.36,1
IND,7,Male,18,Not immigrant,0,7,2,9,1,1.68,2
IND,10,Male,36,Not immigrant,1,10,8,1,3,6.64,3
IND,6,Female,48,Not immigrant,2,3,3,8,1,5.44,3
IND,10,Male,51,Not immigrant,2,4,8,10,3,6.56,3
IND,8,Male,66,Not immigrant,3,4,1,10,1,5.95,3
IND,10,Male,28,Not immigrant,0,6,3,10,1,5.6,3
IND,9,Female,45,Not immigrant,3,1,0,10,3,6.24,3
IND,9,Male,19,Not immigrant,0,7,4,8,1,4.56,1
IND,10,Male,21,Not immigrant,2,7,4,9,1,6.0,3
IND,7,Male,35,Not immigrant,3,5,3,10,1,5.92,3
IND,4,Male,47,Not immigrant,2,5,3,5,3,5.61,3
IND,7,Male,31,Not immigrant,1,3,2,9,1,6.16,3
IND,10,Female,16,Not immigrant,0,5,3,10,1,8.86,0
IND,8,Male,35,Not immigrant,1,4,3,10,2,6.56,3
IND,8,Male,34,Not immigrant,0,6,2,8,1,6.48,1
IND,10,Male,45,Not immigrant,1,1,6,6,1,6.4,3
IND,5,Male,46,Not immigrant,2,6,3,7,1,6.79,1
IND,7,Male,20,Not immigrant,0,7,7,6,1,5.44,3
IND,8,Female,28,Not immigrant,2,4,3,10,1,5.44,3
IND,6,Male,31,Not immigrant,1,1,3,10,1,5.28,3
IND,1,Female,29,Not immigrant,2,5,3,7,3,6.4,3
IND,3,Female,51,Not immigrant,1,3,0,10,2,6.16,3
IND,8,Female,31,Not immigrant,2,7,6,8,1,6.32,3
IND,10,Female,35,Not immigrant,3,4,3,10,4,8.48,3
IND,10,Female,54,Not immigrant,4,4,0,10,1,6.64,3
IND,10,Female,50,Not immigrant,4,5,0,10,1,6.38,3
IND,10,Female,25,Not immigrant,0,8,7,10,3,6.64,3
IND,10,Male,17,Not immigrant,0,1,3,6,1,6.4,3
IND,8,Male,25,Not immigrant,0,9,2,8,1,3.28,2
IND,7,Male,48,Not immigrant,6,8,3,8,1,4.16,2
IND,9,Female,63,Not immigrant,4,9,2,9,2,4.8,1
IND,6,Male,38,Not immigrant,8,9,2,9,1,1.04,3
IND,6,Female,39,Not immigrant,0,5,2,4,2,3.04,2
IND,6,Male,40,Not immigrant,4,3,1,8,1,5.19,1
IND,8,Male,31,Not immigrant,1,7,3,7,3,4.48,3
IND,6,Female,42,Not immigrant,3,5,6,10,1,5.52,3
IND,9,Female,32,Not immigrant,2,1,2,10,3,6.08,3
IND,7,Female,36,Not immigrant,2,6,4,10,1,6.16,3
IND,8,Female,59,Not immigrant,3,5,1,10,1,5.44,3
IND,5,Male,30,Not immigrant,2,7,4,7,3,3.81,3
IND,1,Male,19,Not immigrant,0,7,3,10,1,5.76,3
IND,5,Male,28,Not immigrant,1,8,4,10,4,5.52,3
IND,5,Female,54,Not immigrant,3,2,1,6,1,6.3,2
IND,8,Male,25,Not immigrant,5,9,4,6,1,5.68,2
IND,7,Female,17,Not immigrant,0,3,3,8,1,6.58,0
IND,10,Female,50,Not immigrant,1,1,0,6,1,6.4,2
IND,10,Female,20,Not immigrant,0,8,7,10,3,6.4,3
IND,9,Female,50,Not immigrant,3,2,1,8,1,6.4,2
IND,6,Male,39,Not immigrant,2,3,3,10,2,5.04,3
IND,10,Male,25,Not immigrant,0,7,6,10,2,7.04,3
IND,3,Male,17,Not immigrant,0,3,3,10,1,5.86,0
IND,9,Male,44,Not immigrant,2,7,7,7,1,6.4,3
IND,9,Female,42,Not immigrant,3,7,3,8,1,5.52,3
IND,5,Female,58,Not immigrant,3,4,1,10,1,5.2,3
IND,6,Female,56,Not immigrant,5,3,0,10,1,6.4,3
IND,7,Male,54,Not immigrant,4,4,0,8,2,4.72,1
IND,10,Female,22,Not immigrant,0,7,6,10,3,5.68,3
IND,10,Male,40,Not immigrant,4,1,3,10,1,6.4,1
IND,8,Female,27,Not immigrant,0,8,7,7,1,6.8,2
IND,6,Female,23,Not immigrant,1,3,3,10,1,5.06,1
IND,10,Male,21,Not immigrant,0,5,3,6,1,6.24,0
IND,9,Male,19,Not immigrant,0,6,6,8,1,5.68,3
IND,3,Female,16,Not immigrant,0,2,3,2,1,5.44,0
IND,10,Male,47,Not immigrant,3,3,2,10,1,5.95,3
IND,1,Male,16,Not immigrant,0,1,3,1,1,6.24,3
IND,10,Female,58,Not immigrant,3,5,0,10,1,3.78,3
IND,8,Female,50,Not immigrant,5,8,1,8,1,4.24,2
IND,3,Male,25,Not immigrant,0,1,3,9,1,6.4,3
IND,7,Female,40,Not immigrant,3,7,2,7,1,5.76,3
IND,5,Female,17,Not immigrant,0,5,0,8,1,6.16,0
IND,1,Female,23,Not immigrant,0,1,2,10,3,5.84,3
IND,8,Female,33,Not immigrant,1,3,3,8,1,6.71,3
IND,5,Male,17,Not immigrant,0,1,2,9,1,6.32,3
IND,1,Female,48,Not immigrant,2,10,8,10,1,5.44,3
IND,5,Male,49,Not immigrant,3,5,1,6,1,2.48,2
IND,7,Male,59,Not immigrant,2,2,1,8,3,5.36,2
IND,9,Male,57,Not immigrant,8,10,1,9,1,1.52,3
IND,8,Male,43,Not immigrant,5,8,3,8,1,5.44,2
IND,4,Female,65,Not immigrant,2,8,0,10,1,5.44,3
